latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-74.0199,49.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),shortwave_radiation_instant (W/m²),global_tilted_irradiance (W/m²),direct_radiation_spread (W/m²)
1753945200,26.5,79,22.5,31.3,0.00,0.00,0.00,0.00,3,1014.3,1008.7,90,0.00,0.74,2.5,9.4,262,253,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753948800,26.3,77,21.9,30.7,0.10,0.10,0.00,0.00,51,1014.5,1008.8,94,0.00,0.80,3.1,7.2,3,341,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753952400,26.1,81,22.6,31.2,0.00,0.00,0.00,0.00,1,1014.5,1008.8,23,0.00,0.64,1.0,4.8,45,37,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753956000,25.7,79,21.9,30.1,0.00,0.00,0.00,0.00,0,1014.7,1009.0,18,0.00,0.68,3.1,8.4,36,45,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,NaN
1753959600,26.1,72,20.8,29.3,0.00,0.00,0.00,0.00,0,1015.0,1009.3,16,0.06,0.93,7.7,12.9,18,25,17.6,50.0,23.0,27.0,171.6,135.8,44.0,51.7,250.6,73.0,259.9,95.7,50.0,NaN
1753963200,26.5,63,19.0,28.6,0.00,0.00,0.00,0.00,3,1015.4,1009.7,90,0.16,1.27,8.7,13.3,22,27,23.0,195.0,123.0,72.0,425.0,384.2,162.4,95.1,561.2,257.5,507.2,257.5,195.0,NaN
1753966800,28.6,64,21.0,32.1,0.10,0.10,0.00,0.00,51,1015.2,1009.6,51,0.25,1.42,6.1,8.6,19,22,19.1,324.0,190.0,134.0,403.7,624.8,224.6,158.4,477.1,382.9,738.4,382.9,324.0,NaN
1753970400,29.4,58,20.2,31.9,0.00,0.00,0.00,0.00,1,1015.1,1009.5,30,0.36,1.73,9.5,13.4,21,26,27.0,450.0,289.0,161.0,456.0,841.3,322.1,179.5,508.3,501.6,937.7,501.6,450.0,NaN
1753974000,29.8,56,20.0,32.5,0.10,0.10,0.00,0.00,51,1015.1,1009.5,96,0.46,1.87,9.8,14.0,31,36,29.9,594.0,411.0,183.0,535.5,1018.8,440.3,196.0,573.7,636.4,1091.5,636.4,594.0,NaN
1753977600,30.3,56,20.5,33.2,0.10,0.10,0.00,0.00,51,1014.6,1009.0,94,0.45,1.91,9.0,12.9,70,67,29.2,568.0,331.0,237.0,383.6,1145.3,343.7,246.1,398.3,589.8,1189.3,589.8,568.0,NaN
1753981200,30.8,56,20.9,34.2,0.10,0.10,0.00,0.00,51,1014.7,1009.1,100,0.47,1.97,7.7,10.5,54,61,28.1,588.0,253.0,335.0,277.1,1212.2,255.5,338.4,279.9,593.9,1224.4,593.9,588.0,NaN
1753984800,27.3,70,21.3,30.2,1.60,1.60,0.00,0.00,61,1014.9,1009.3,100,0.28,1.09,11.2,15.6,118,109,28.4,351.0,103.0,248.0,112.6,1214.7,101.3,243.8,110.7,345.1,1194.4,345.1,351.0,NaN
1753988400,26.0,75,21.2,29.6,0.60,0.60,0.00,0.00,53,1014.6,1008.9,100,0.24,0.83,6.1,8.9,95,99,32.0,316.0,79.0,237.0,91.0,1152.8,75.5,226.4,86.9,301.9,1101.3,301.9,316.0,NaN
1753992000,26.3,73,21.1,29.7,0.10,0.10,0.00,0.00,51,1014.3,1008.6,99,0.21,0.93,7.1,10.3,54,57,20.2,265.0,55.0,210.0,70.8,1030.7,50.8,193.9,65.4,244.6,951.5,244.6,265.0,NaN
1753995600,26.8,70,20.9,29.5,0.20,0.20,0.00,0.00,51,1014.1,1008.5,100,0.25,1.05,10.5,15.7,70,68,27.4,319.0,116.0,203.0,179.8,856.6,102.3,178.9,158.5,281.2,755.1,281.2,319.0,NaN
1753999200,24.0,87,21.7,26.8,4.50,4.50,0.00,0.00,63,1014.5,1008.8,100,0.11,0.40,13.2,20.6,58,62,31.3,140.0,6.0,134.0,12.4,642.4,4.9,109.6,10.1,114.5,525.6,114.5,140.0,NaN
1754002800,23.1,88,21.0,25.8,1.10,1.10,0.00,0.00,55,1014.6,1008.9,100,0.06,0.33,11.3,17.9,59,58,31.7,64.0,1.0,63.0,3.3,402.7,0.7,43.6,2.3,44.3,278.5,44.3,64.0,NaN
1754006400,23.0,88,20.8,26.0,0.40,0.40,0.00,0.00,51,1015.0,1009.3,100,0.04,0.34,8.6,13.9,30,38,27.4,25.0,0.0,25.0,0.0,153.8,0.0,5.0,0.0,4.1,30.7,5.0,25.0,NaN
1754010000,20.0,93,18.8,21.3,0.20,0.20,0.00,0.00,51,1016.9,1011.1,100,0.02,0.16,13.6,23.3,26,28,36.7,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754013600,20.0,87,17.7,20.9,0.20,0.20,0.00,0.00,51,1017.6,1011.8,100,0.01,0.31,12.9,20.9,30,36,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754017200,19.5,86,17.1,19.7,0.40,0.40,0.00,0.00,51,1017.8,1012.0,100,0.02,0.32,15.3,25.3,36,40,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754020800,19.0,88,16.9,19.1,0.40,0.40,0.00,0.00,51,1017.9,1012.1,100,0.01,0.27,16.5,27.8,37,39,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754024400,18.9,88,16.8,19.2,0.20,0.20,0.00,0.00,51,1018.0,1012.2,100,0.01,0.26,14.6,23.8,26,29,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754028000,18.4,88,16.3,18.6,0.20,0.20,0.00,0.00,51,1017.9,1012.1,100,0.01,0.26,13.9,22.8,21,24,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754031600,18.1,88,16.1,18.3,0.20,0.20,0.00,0.00,51,1018.5,1012.7,100,0.01,0.25,13.4,21.3,20,21,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754035200,17.9,88,15.8,18.0,0.30,0.30,0.00,0.00,51,1018.6,1012.8,100,0.01,0.26,13.3,21.8,21,24,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754038800,17.7,87,15.5,17.6,0.10,0.10,0.00,0.00,51,1018.7,1012.9,100,0.01,0.26,14.0,22.6,23,24,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754042400,17.6,86,15.2,17.4,0.00,0.00,0.00,0.00,3,1019.2,1013.4,100,0.01,0.28,13.2,21.7,20,21,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,NaN
1754046000,17.8,84,15.0,17.5,0.00,0.00,0.00,0.00,3,1020.1,1014.3,100,0.04,0.33,13.5,22.3,25,27,31.7,19.0,0.0,19.0,0.0,132.2,0.0,36.9,0.0,27.7,256.6,36.9,19.0,NaN
1754049600,18.3,81,15.0,17.7,0.00,0.00,0.00,0.00,3,1020.7,1014.9,100,0.08,0.40,15.6,25.2,30,30,36.0,88.0,1.0,87.0,3.5,381.0,1.3,115.1,4.6,116.5,504.3,116.5,88.0,NaN
1754053200,18.1,83,15.2,17.5,0.00,0.00,0.00,0.00,3,1021.4,1015.5,100,0.10,0.34,16.2,24.9,26,26,36.7,130.0,11.0,119.0,23.5,622.1,13.0,140.8,27.8,153.8,735.9,153.8,130.0,NaN
1754056800,18.9,80,15.3,18.5,0.00,0.00,0.00,0.00,3,1021.4,1015.6,100,0.15,0.45,15.5,23.8,32,32,37.1,229.0,30.0,199.0,47.5,838.9,33.5,221.9,53.0,255.4,935.4,255.4,229.0,NaN
1754060400,19.6,77,15.5,19.3,0.00,0.00,0.00,0.00,3,1021.8,1016.0,100,0.18,0.53,15.0,23.0,38,37,37.1,266.0,18.0,248.0,23.5,1016.7,19.3,265.7,25.2,285.0,1089.4,285.0,266.0,NaN
1754064000,20.1,76,15.7,20.3,0.10,0.10,0.00,0.00,51,1022.0,1016.2,100,0.18,0.57,12.3,19.1,38,39,34.9,251.0,5.0,246.0,5.8,1143.3,5.2,255.5,6.0,260.7,1187.3,260.7,251.0,NaN
1754067600,21.1,72,15.9,21.5,0.10,0.10,0.00,0.00,51,1021.7,1015.9,100,0.25,0.70,11.0,16.6,41,41,30.2,360.0,34.0,326.0,37.3,1210.2,34.3,329.3,37.7,363.6,1222.4,363.6,360.0,NaN
1754071200,22.0,69,15.9,22.5,0.10,0.10,0.00,0.00,51,1021.5,1015.7,100,0.29,0.83,10.5,15.6,38,39,28.4,429.0,65.0,364.0,71.2,1212.7,63.9,357.9,70.0,421.8,1192.3,421.8,429.0,NaN
1754074800,22.8,65,15.9,23.4,0.10,0.10,0.00,0.00,51,1021.4,1015.6,100,0.32,0.96,9.6,14.2,34,36,27.0,460.0,92.0,368.0,106.2,1150.6,87.9,351.5,101.4,439.3,1099.0,439.3,460.0,NaN
1754078400,22.6,67,16.1,23.2,0.00,0.00,0.00,0.00,3,1021.4,1015.6,100,0.26,0.91,10.1,15.0,33,34,26.6,369.0,101.0,268.0,130.4,1028.2,93.2,247.3,120.4,340.5,948.8,340.5,369.0,NaN
1754082000,22.4,68,16.2,22.9,0.00,0.00,0.00,0.00,3,1021.3,1015.5,100,0.22,0.87,11.4,17.2,29,30,27.4,304.0,67.0,237.0,104.2,853.8,59.0,208.8,91.8,267.8,752.1,267.8,304.0,NaN
1754085600,21.7,71,16.3,22.4,0.00,0.00,0.00,0.00,3,1021.4,1015.6,97,0.16,0.75,10.2,15.8,34,34,28.1,210.0,63.0,147.0,130.9,639.2,51.5,120.1,106.9,171.5,522.1,171.5,210.0,NaN
1754089200,21.4,73,16.4,22.5,0.00,0.00,0.00,0.00,2,1022.0,1016.2,72,0.12,0.69,8.0,13.0,36,38,24.1,176.0,81.0,95.0,269.5,399.1,55.7,65.4,185.5,121.1,274.6,121.1,176.0,NaN
1754092800,20.7,79,16.8,22.3,0.00,0.00,0.00,0.00,2,1022.5,1016.7,61,0.04,0.52,5.2,12.2,22,27,18.7,58.0,24.0,34.0,172.1,149.7,4.2,6.0,24.5,8.3,26.4,10.2,58.0,NaN
1754096400,20.1,83,17.1,22.3,0.00,0.00,0.00,0.00,2,1023.3,1017.5,78,0.02,0.40,2.6,7.8,25,44,11.9,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754100000,19.8,84,17.0,21.8,0.00,0.00,0.00,0.00,2,1023.6,1017.8,76,0.00,0.38,3.1,7.2,332,3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754103600,19.5,85,16.9,21.5,0.00,0.00,0.00,0.00,0,1023.7,1017.9,1,0.00,0.34,3.6,9.8,330,347,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754107200,19.0,88,17.0,21.0,0.00,0.00,0.00,0.00,0,1023.4,1017.6,0,0.00,0.27,3.5,10.2,332,347,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754110800,18.7,90,17.0,20.8,0.00,0.00,0.00,0.00,0,1023.3,1017.5,2,0.00,0.23,2.7,8.3,323,340,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754114400,18.5,90,16.9,20.5,0.00,0.00,0.00,0.00,0,1023.1,1017.2,0,0.00,0.20,2.9,8.3,313,330,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754118000,18.0,92,16.6,19.8,0.00,0.00,0.00,0.00,0,1023.2,1017.3,0,0.00,0.17,3.4,10.4,313,326,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754121600,17.8,91,16.3,19.3,0.00,0.00,0.00,0.00,0,1023.2,1017.3,1,0.00,0.19,4.9,14.4,332,342,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754125200,17.5,86,15.1,17.9,0.00,0.00,0.00,0.00,0,1023.4,1017.5,0,0.00,0.29,9.3,20.4,344,355,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754128800,16.8,81,13.5,16.5,0.00,0.00,0.00,0.00,0,1024.0,1018.1,11,0.01,0.36,9.7,21.2,356,359,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,NaN
1754132400,16.7,78,12.8,16.3,0.00,0.00,0.00,0.00,1,1024.4,1018.5,24,0.04,0.42,8.8,20.9,360,7,22.0,54.0,28.0,26.0,212.9,128.6,55.1,51.2,308.7,78.3,253.2,106.3,54.0,NaN
1754136000,17.6,75,13.2,17.4,0.00,0.00,0.00,0.00,0,1024.6,1018.7,1,0.12,0.50,8.7,14.6,4,10,20.9,213.0,146.0,67.0,513.1,377.9,193.7,88.9,680.8,282.6,501.4,282.6,213.0,NaN
1754139600,19.4,73,14.4,19.8,0.00,0.00,0.00,0.00,0,1024.9,1019.1,1,0.23,0.61,7.0,10.8,4,11,21.6,399.0,308.0,91.0,660.5,619.3,364.7,107.7,782.1,472.4,733.3,472.4,399.0,NaN
1754143200,21.1,66,14.5,21.7,0.00,0.00,0.00,0.00,1,1024.9,1019.1,23,0.35,0.85,7.3,10.7,9,13,21.6,578.0,470.0,108.0,746.3,836.4,524.3,120.5,832.6,644.8,933.1,644.8,578.0,NaN
1754146800,22.7,57,13.9,23.9,0.00,0.00,0.00,0.00,2,1024.7,1018.9,58,0.46,1.18,8.0,11.7,18,23,23.8,730.0,610.0,120.0,798.6,1014.5,653.8,128.6,855.9,782.4,1087.3,782.4,730.0,NaN
1754150400,23.8,49,12.5,25.1,0.00,0.00,0.00,0.00,1,1024.1,1018.3,23,0.55,1.51,8.7,12.6,32,36,25.6,843.0,718.0,125.0,835.6,1141.3,745.7,129.8,867.8,875.5,1185.3,875.5,843.0,NaN
1754154000,24.6,45,11.8,26.1,0.00,0.00,0.00,0.00,3,1023.6,1017.9,100,0.60,1.70,7.8,11.2,40,42,25.6,907.0,779.0,128.0,856.4,1208.2,786.8,129.3,865.0,916.1,1220.3,916.1,907.0,NaN
1754157600,25.2,42,11.4,26.9,0.00,0.00,0.00,0.00,3,1023.1,1017.4,100,0.61,1.86,6.6,9.3,21,24,23.8,900.0,749.0,151.0,821.8,1210.6,736.3,148.4,807.8,884.8,1190.1,884.8,900.0,NaN
1754161200,25.0,40,10.5,24.4,0.00,0.00,0.00,0.00,3,1022.7,1017.0,100,0.44,1.90,7.3,10.1,353,355,20.9,596.0,300.0,296.0,347.0,1148.3,286.5,282.7,331.3,569.1,1096.5,569.1,596.0,NaN
1754164800,25.0,41,11.0,24.3,0.00,0.00,0.00,0.00,3,1022.2,1016.5,100,0.40,1.86,7.3,10.4,351,351,22.0,542.0,253.0,289.0,327.6,1025.6,233.4,266.6,302.2,500.0,946.1,500.0,542.0,NaN
1754168400,25.0,41,10.9,24.5,0.00,0.00,0.00,0.00,3,1021.8,1016.1,100,0.28,1.87,5.3,7.9,24,17,19.8,373.0,126.0,247.0,196.7,850.8,110.9,217.4,173.1,328.3,749.0,328.3,373.0,NaN
1754172000,24.6,43,11.3,23.9,0.00,0.00,0.00,0.00,3,1021.6,1015.9,100,0.22,1.76,7.5,12.2,60,53,17.3,243.0,42.0,201.0,87.7,635.8,34.3,163.9,71.6,198.2,518.6,198.2,243.0,NaN
1754175600,23.3,53,13.1,23.2,0.00,0.00,0.00,0.00,3,1021.6,1015.9,100,0.14,1.36,7.3,15.5,67,63,19.8,145.0,35.0,110.0,117.6,395.3,24.0,75.3,80.5,99.3,270.6,99.3,145.0,NaN
1754179200,21.7,67,15.3,23.2,0.00,0.00,0.00,0.00,3,1021.9,1016.1,99,0.03,0.86,2.4,8.5,77,73,16.6,44.0,4.0,40.0,29.0,145.5,0.6,6.0,3.5,5.3,21.9,6.6,44.0,NaN
1754182800,20.9,73,15.8,22.7,0.00,0.00,0.00,0.00,1,1022.5,1016.7,46,0.02,0.68,1.5,8.5,159,187,7.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754186400,20.4,75,15.8,22.1,0.00,0.00,0.00,0.00,2,1022.8,1017.0,55,0.00,0.61,1.8,9.1,217,207,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754190000,19.7,79,16.0,21.1,0.00,0.00,0.00,0.00,3,1022.7,1016.9,99,0.00,0.47,4.7,13.1,230,222,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754193600,19.0,84,16.3,20.8,0.00,0.00,0.00,0.00,2,1022.4,1016.6,71,0.00,0.34,3.1,9.6,249,237,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754197200,18.8,85,16.2,20.8,0.00,0.00,0.00,0.00,0,1022.1,1016.3,6,0.00,0.33,1.0,5.4,329,278,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754200800,18.3,87,16.2,20.3,0.00,0.00,0.00,0.00,0,1021.7,1015.9,1,0.00,0.27,1.2,4.7,27,353,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754204400,18.0,88,16.0,19.9,0.00,0.00,0.00,0.00,0,1021.6,1015.7,12,0.00,0.24,0.9,5.2,349,16,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754208000,17.1,91,15.6,18.5,0.00,0.00,0.00,0.00,0,1021.5,1015.6,0,0.00,0.17,3.5,8.5,325,354,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754211600,16.9,87,14.8,17.8,0.00,0.00,0.00,0.00,0,1021.8,1015.9,0,0.00,0.24,4.4,12.8,341,358,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754215200,16.4,85,13.8,17.0,0.00,0.00,0.00,0.00,0,1021.8,1015.9,0,0.00,0.29,4.5,13.4,360,5,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,NaN
1754218800,17.3,81,14.0,17.7,0.00,0.00,0.00,0.00,0,1022.2,1016.3,0,0.03,0.38,5.8,14.0,355,7,11.5,53.0,28.0,25.0,215.0,125.0,55.9,50.0,310.5,76.5,249.8,105.9,53.0,NaN
1754222400,18.7,77,14.5,19.6,0.00,0.00,0.00,0.00,0,1022.2,1016.4,0,0.11,0.50,4.2,15.3,353,9,13.0,211.0,147.0,64.0,521.2,374.7,195.5,85.1,693.2,280.7,498.4,280.7,211.0,NaN
1754226000,20.5,68,14.3,21.3,0.00,0.00,0.00,0.00,0,1022.3,1016.5,0,0.23,0.78,3.8,8.3,5,13,14.0,401.0,314.0,87.0,676.6,616.5,372.1,103.1,801.9,475.3,730.6,475.3,401.0,NaN
1754229600,22.9,56,13.8,23.6,0.00,0.00,0.00,0.00,0,1022.3,1016.5,0,0.37,1.22,5.0,7.8,13,19,17.3,584.0,483.0,101.0,769.4,834.0,539.1,112.7,858.8,651.8,930.8,651.8,584.0,NaN
1754233200,24.7,46,12.5,25.8,0.00,0.00,0.00,0.00,0,1022.3,1016.6,0,0.49,1.67,6.1,9.0,19,23,20.2,737.0,627.0,110.0,822.9,1012.2,672.2,117.9,882.2,790.1,1085.2,790.1,737.0,NaN
1754236800,25.8,40,11.2,27.2,0.00,0.00,0.00,0.00,0,1021.8,1016.1,0,0.58,1.98,5.6,8.1,27,28,20.2,848.0,732.0,116.0,853.7,1139.2,760.3,120.5,886.7,880.8,1183.2,880.8,848.0,NaN
1754240400,26.5,38,11.2,28.4,0.00,0.00,0.00,0.00,0,1021.1,1015.4,0,0.63,2.13,5.0,7.2,30,32,19.8,907.0,787.0,120.0,866.9,1206.1,794.9,121.2,875.6,916.1,1218.2,916.1,907.0,NaN
1754244000,27.1,37,11.2,29.1,0.00,0.00,0.00,0.00,0,1020.5,1014.8,0,0.63,2.26,4.9,6.9,24,31,19.1,908.0,789.0,119.0,867.4,1208.4,775.6,117.0,852.6,892.5,1187.8,892.5,908.0,NaN
1754247600,27.7,36,11.4,29.5,0.00,0.00,0.00,0.00,0,1019.7,1014.0,0,0.60,2.36,4.0,5.8,21,30,18.4,852.0,736.0,116.0,853.3,1146.0,702.7,110.7,814.6,813.4,1094.0,813.4,852.0,NaN
1754251200,28.0,36,11.6,29.5,0.00,0.00,0.00,0.00,0,1019.1,1013.5,5,0.51,2.41,1.7,2.7,49,48,16.6,744.0,635.0,109.0,824.7,1023.0,585.5,100.5,760.4,686.0,943.2,686.0,744.0,NaN
1754254800,27.7,37,11.6,28.1,0.00,0.00,0.00,0.00,0,1018.8,1013.2,6,0.41,2.35,2.5,3.1,159,152,11.9,594.0,493.0,101.0,772.6,847.8,433.6,88.8,679.6,522.5,745.7,522.5,594.0,NaN
1754258400,26.8,40,12.0,26.4,0.00,0.00,0.00,0.00,0,1018.6,1012.9,3,0.31,2.13,6.9,9.3,171,171,19.1,415.0,330.0,85.0,693.3,632.4,268.7,69.2,564.5,337.9,514.9,337.9,415.0,NaN
1754262000,25.1,47,12.9,24.4,0.00,0.00,0.00,0.00,0,1018.9,1013.2,0,0.20,1.69,11.2,18.5,175,178,26.3,224.0,158.0,66.0,536.4,391.3,107.6,44.9,365.2,152.5,266.4,152.5,224.0,NaN
1754265600,23.0,53,12.8,22.6,0.00,0.00,0.00,0.00,0,1019.4,1013.7,0,0.09,1.33,9.0,19.6,177,179,26.3,61.0,33.0,28.0,242.0,141.2,4.1,3.4,23.2,5.8,17.4,7.5,61.0,NaN
1754269200,22.0,60,13.9,22.6,0.00,0.00,0.00,0.00,0,1020.0,1014.2,1,0.01,1.05,4.4,13.3,187,178,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754272800,21.2,67,14.9,22.3,0.00,0.00,0.00,0.00,0,1020.5,1014.7,0,0.01,0.83,4.0,12.4,177,180,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754276400,20.7,68,14.6,21.7,0.00,0.00,0.00,0.00,0,1020.2,1014.4,0,0.01,0.78,4.1,12.9,195,189,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754280000,20.1,72,14.8,21.1,0.00,0.00,0.00,0.00,0,1020.0,1014.2,0,0.00,0.67,3.8,11.6,221,217,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754283600,19.5,75,15.0,20.6,0.00,0.00,0.00,0.00,0,1020.0,1014.2,0,0.00,0.57,3.9,11.9,227,232,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754287200,19.0,77,14.9,20.1,0.00,0.00,0.00,0.00,0,1019.7,1013.9,0,0.00,0.51,3.7,11.3,241,250,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754290800,18.6,80,15.0,19.8,0.00,0.00,0.00,0.00,0,1019.5,1013.7,0,0.00,0.44,3.2,7.9,218,254,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754294400,18.1,83,15.2,19.4,0.00,0.00,0.00,0.00,0,1019.5,1013.7,0,0.00,0.34,3.1,6.4,211,241,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754298000,17.7,85,15.2,19.1,0.00,0.00,0.00,0.00,0,1019.6,1013.8,0,0.00,0.30,2.5,5.4,225,250,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754301600,17.2,89,15.4,18.6,0.00,0.00,0.00,0.00,0,1020.3,1014.4,0,0.00,0.22,3.3,6.8,229,235,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1754305200,18.4,85,15.8,19.8,0.00,0.00,0.00,0.00,0,1020.8,1015.0,0,0.02,0.33,4.1,8.1,272,266,8.6,51.0,27.0,24.0,209.5,121.4,54.8,48.7,301.3,73.4,246.4,103.5,51.0,NaN
1754308800,20.1,78,16.0,21.8,0.00,0.00,0.00,0.00,0,1021.3,1015.5,0,0.11,0.53,2.6,7.0,304,312,10.8,209.0,146.0,63.0,522.3,371.5,194.7,84.0,696.5,278.7,495.3,278.7,209.0,NaN
1754312400,22.2,67,15.8,23.8,0.00,0.00,0.00,0.00,0,1021.4,1015.6,0,0.24,0.88,2.1,3.6,322,333,12.2,396.0,309.0,87.0,669.1,613.7,366.6,103.2,793.8,469.8,728.0,469.8,396.0,NaN
1754316000,25.1,52,14.6,26.3,0.00,0.00,0.00,0.00,0,1021.4,1015.7,0,0.38,1.53,3.5,5.2,339,346,15.5,579.0,479.0,100.0,765.6,831.4,534.9,111.7,854.8,646.5,928.4,646.5,579.0,NaN
1754319600,27.6,42,13.5,29.3,0.00,0.00,0.00,0.00,0,1021.2,1015.5,0,0.51,2.15,4.1,6.2,345,350,18.0,734.0,625.0,109.0,822.3,1010.0,670.2,116.9,881.8,787.1,1083.0,787.1,734.0,NaN
1754323200,29.3,36,12.8,31.4,0.00,0.00,0.00,0.00,0,1020.6,1015.0,0,0.61,2.61,4.6,6.5,342,347,19.4,845.0,730.0,115.0,853.2,1137.0,758.3,119.5,886.2,877.7,1181.1,877.7,845.0,NaN
1754326800,30.7,32,12.2,33.0,0.00,0.00,0.00,0.00,0,1020.3,1014.7,0,0.67,3.00,4.4,6.1,322,330,19.4,904.0,786.0,118.0,867.6,1204.0,793.9,119.2,876.3,913.1,1216.1,913.1,904.0,NaN
